,FC_var_1650,FC_mean_41715,FC_var_39614,FC_mean_39513,FC_var_29892,FC_mean_8450,FC_var_36058,FC_mean_16186,FC_var_39606,FC_mean_1467,FC_var_17269,FC_mean_1635,FC_mean_25403,FC_var_27225,FC_var_17588,FC_var_30742
40,-0.16527519,-0.20356645,-0.030662604,-0.19977726,-0.12975582,-0.5099193,0.026308307,-0.21039398,-0.055959973,-0.0547163,-0.18110627,0.009537074,-0.058477037,0.020588033,-0.017505392,-0.17929627
41,-0.47840333,0.31336883,-0.012531947,-0.69700557,-0.14122927,-0.27555856,0.06329791,-0.041656047,0.00054068846,0.04213493,-0.081414916,-0.05665872,-0.20991118,-0.002318349,0.008057586,-0.37107015
42,-0.0715456,-0.35972124,-0.030184826,-0.19640423,0.0106133055,-0.36039147,0.06500454,-0.24054381,0.026168795,-0.2578433,-0.11475107,-0.15741071,-0.08886198,0.082753405,0.0027364332,-0.25016484
43,-1.1224601,-0.6375466,-0.0076111737,0.080216594,0.4645733,-0.29742613,0.0069586188,-0.09113531,-0.023719015,-0.112238884,-0.016942855,-0.11708385,0.026964035,0.016878167,-0.011817602,-0.09808034
44,-0.020525973,1.078004,0.08433737,-0.3134253,-0.13234654,-0.2361307,-0.20862961,0.015811894,0.009325711,0.21882045,-0.020713314,-0.03587322,-0.12294064,0.068149254,-0.0024591673,0.6782464
45,-0.091369025,-0.85022855,-0.087567925,0.08212109,-0.020569524,-0.5104655,0.08306884,-0.20730372,-0.021322196,-0.15171671,-0.084473714,-0.096025236,-0.00068275735,0.0630397,-0.008245012,-0.03850233
46,-0.04166575,-0.71108586,-0.40552652,-0.07560836,-0.30243614,-0.2600359,0.0154039925,-0.10534326,-0.08794666,-0.15796345,0.0047613387,-0.013441348,-0.021327654,0.067352906,-0.011031599,0.1651129
47,0.19293344,-0.3311108,-0.018522795,0.059789088,1.2738582,-0.1720579,0.073795356,-0.06848502,0.029909233,-0.10665084,-0.034588605,0.12875777,0.07953297,0.0048682685,-0.0075159464,-0.04498478
48,-0.10042977,-0.78552234,-0.15914322,0.12399899,-0.40672633,-0.37981564,0.056898322,-0.040490083,0.029968925,-0.20219003,0.04695743,-0.039892275,-0.127612,0.07960167,-0.0019093452,-0.033268716
49,-0.012688954,0.5514848,0.016996283,0.30842158,-0.1680386,-0.5256638,-0.013317848,-0.087699786,-0.0018562744,0.03317064,-0.10379089,0.031828325,-0.11987369,-0.5883647,0.0024504026,-0.26240617
50,-0.05477078,-0.49389604,-0.48718104,-0.022736177,-0.022964085,-0.5315203,0.080638684,-0.2421689,-0.06056972,-0.12786274,-0.02174638,-0.09539249,-0.028944977,0.025071597,-0.0015540611,0.14559485
51,-0.050336745,-0.2942987,-0.007931554,-0.13597547,-0.19874962,-0.61146915,0.04696684,-0.13373116,0.008656519,0.038053997,-0.11796752,-0.1414556,-0.067218095,-0.040402494,0.0033174292,-0.23816314
52,-0.15160371,0.3314031,-0.036371622,-0.7673046,-0.06778344,-0.5510895,-0.10548526,-0.103061154,0.01411329,0.022650383,-0.062945746,-0.028404014,-0.010624738,0.055400018,-0.0066635194,-0.47245896
53,-0.058762226,-0.29307944,-0.0071496554,-0.23022932,-0.0014958052,-0.4093648,-0.2240927,-0.03491124,0.026734639,-0.18115614,-0.086468294,-0.15215383,-0.08152365,-0.098485164,0.022546872,-0.13053425
54,-0.030292103,-0.2370517,0.15049084,-0.18903345,-0.10181667,-0.32976755,-0.14534818,-0.11730862,0.00062950334,0.11708582,0.0035953615,-0.08164687,0.046314165,0.13005592,0.016506957,-0.17325445
55,-0.08828933,-0.16626999,0.046654604,-0.18114552,-0.24754955,-0.26780394,-0.051227342,0.36032522,-0.05068054,0.1322063,-0.2662936,-0.10863445,-0.030566,0.1053982,-0.014799686,-0.11160145
56,-0.08158363,-0.48074952,0.085156985,-0.21797077,-0.002033689,-0.38009205,-0.014789532,-0.18610433,0.03824966,-0.28069115,-0.03331191,-0.11418684,-0.15274094,0.070312284,-0.004695709,-0.18539487
57,-0.054806873,0.28607818,-0.030443078,-0.7651635,-0.031631414,-0.3603959,0.043819726,-0.050771385,-0.030158553,-0.11967565,-0.12519515,-0.11284323,-0.13669857,-0.00050347747,-0.00997586,-0.44030553
58,0.0020955105,-0.37665302,0.093464494,-0.2837996,-0.031568892,-0.34406435,0.061885767,-0.1938276,-0.099767454,-0.14070247,-0.21366058,-0.07055794,-0.1640624,0.037173886,-0.011290239,-0.2050188
